SummitCode,SummitName,Latitude,Longitude,AltM
JA/AC-001,Chausuyama,35.22760,137.65550,1415
JA/AC-002,Tengudana,35.19020,137.58080,1240
JA/AC-003,Takanosuyama,35.15260,137.49500,1152
JA/AC-004,JA/AC-004,35.13610,137.44360,1130
JA/AC-005,JA/AC-005,35.15310,137.76691,1109
JA/AC-006,Myoujinyama,35.04970,137.66260,1016
JA/AC-007,Oosuzuyama,35.10520,137.60629,1012
JA/AC-008,Koiwadake,35.12350,137.73720,985
JA/AC-009,Shiratoriyama,35.16020,137.65140,968
JA/AC-010,Ootouge,35.13910,137.65540,954
JA/AC-011,Ureyama,35.02280,137.59790,929
JA/AC-012,Hanareyama,35.11270,137.77699,917
JA/AC-013,Near Kurakakeyama,35.05790,137.57990,888
JA/AC-014,JA/AC-014,35.14090,137.62660,866
JA/AC-015,JA/AC-015,35.22460,137.47940,865
JA/AC-016,Gotenyama,35.08670,137.66110,789
JA/AC-017,Honguusan,34.90980,137.42050,789
JA/AC-018,Nagayoshi,35.08500,137.63161,757
JA/AC-019,Nokiyama,35.09460,137.71510,717
JA/AC-020,Hosonomura,35.28090,137.26041,712
JA/AC-021,Mikuniyama,35.25490,137.19020,701
JA/AC-022,Houraijisan,34.98400,137.58279,695
JA/AC-023,JA/AC-023,34.94070,137.49310,688
JA/AC-024,Hourokusan,35.06030,137.30290,684
JA/AC-025,JA/AC-025,35.20180,137.17239,632
JA/AC-026,Rokusyosan,35.05490,137.28419,611
JA/AC-027,Koudosan,34.98480,137.65041,583
JA/AC-028,JA/AC-028,35.01580,137.53889,524
JA/AC-029,Tokosabuyama,34.89840,137.57471,482
JA/AC-030,Ooshiromura,34.91360,137.35410,477
JA/AC-031,Goisan,34.84710,137.25909,454
JA/AC-032,JA/AC-032,34.90070,137.32260,442
JA/AC-033,JA/AC-033,34.95670,137.56090,410
JA/AC-034,Kichijyozan,34.85770,137.47830,383
JA/AC-035,Hiyoshimura1,34.88700,137.52460,356
JA/AC-036,Sanganesan,34.81320,137.15739,330
JA/AC-037,Ooyama,34.60210,137.14639,328
JA/AC-038,Ooshima,35.11920,137.26860,326
JA/AC-039,Kinugasayama,34.67560,137.23990,278
JA/AC-040,Ooboratouge,35.21730,137.46291,868
JA/AC-041,Ebi,35.03750,137.57671,762
JA/AC-042,Near Tomoeyama,34.97600,137.40190,732
JA/AC-043,Takatsuka,35.06700,137.71471,581
JA/AC-044,Near Ooshiromura,34.91010,137.35490,480
JA/AC-045,Sanganesan,34.81380,137.15089,348
JA/AC-046,Motomiyayama,35.33380,136.97971,293
JA/AC-047,Nishiochausuyama,34.84360,137.12300,291
JA/AC-048,Zaousan,34.68500,137.26210,250
JA/AC-049,Nodamura,34.66850,137.20889,223
JA/AC-050,JA/AC-050,34.64820,137.18700,210
JA/AC-051,Toboneyama,34.85650,137.20599,443
JA/AC-052,Owarifuji,35.34450,136.98390,275
JA/AM-001,Iwakisan,40.65590,140.30299,1625
JA/AM-002,Hakkoudasan (Oodake),40.65890,140.87730,1585
JA/AM-003,Kushigamine (Kamidake),40.60320,140.84261,1517
JA/AM-004,Mukaishirakamidake,40.52390,140.04539,1250
JA/AM-005,Heraidake (Mitsudake),40.45290,141.00150,1159
JA/AM-006,Jinbadake,40.48140,140.32730,1050
JA/AM-007,Kuromori,40.64720,140.95520,1023
JA/AM-008,Hachimandake,40.70320,140.99879,1020
JA/AM-009,Masugadake,40.48280,140.09959,1012
JA/AM-010,Aogadake,40.45170,140.18410,1000
JA/AM-011,Near Kenashiyama,40.56370,140.75790,985
JA/AM-012,Futase,40.59600,140.04260,958
JA/AM-013,Tengudake,40.52710,140.08430,958
JA/AM-014,JA/AM-014,40.47790,140.44850,956
JA/AM-015,Shimotozawa,40.57120,140.09869,930
JA/AM-016,Origamiyama,40.76160,140.91969,921
JA/AM-017,Aogayama,40.65490,140.09869,891
JA/AM-018,Rangannomori,40.57960,140.15550,885
JA/AM-019,Oonaruki,40.60590,140.14760,879
JA/AM-020,Kamafuseyama,41.27850,141.12000,878
JA/AM-021,Asahinadake,41.32770,141.02490,874
JA/AM-022,Raibachimori,40.32850,140.99490,874
JA/AM-023,Yosukedoumori,40.30830,140.95720,841
JA/AM-024,Takakuramori,40.54070,140.16400,829
JA/AM-025,Daijinyama,41.29300,141.06841,827
JA/AM-026,Masugatayama,40.67610,140.04829,820
JA/AM-027,Dokonomori,40.38510,141.02460,804
JA/AM-028,Kuromoriyama,40.27270,141.00250,803
JA/AM-029,Serizawa,40.50100,140.24840,789
JA/AM-030,Hiuchidake,41.43910,141.05290,781
JA/AM-031,Daisakuyama,41.32450,140.86000,776
JA/AM-032,Tashiroyama,40.59910,140.71581,768
JA/AM-033,Sankakudake,40.80620,140.98039,753
JA/AM-034,JA/AM-034,40.45050,139.99020,748
JA/AM-035,Sasanagareyama,40.69660,140.04590,732
JA/AM-036,Shikarigadake,40.66400,140.16389,731
JA/AM-037,Eboshidake,40.84040,141.03951,720
JA/AM-038,Ookuromori,40.36210,141.05280,719
JA/AM-039,Maruyagatadake,41.15280,140.58659,718
JA/AM-040,Masukawadake,41.14180,140.40199,714
JA/AM-041,Ajarayama,40.49360,140.59320,710
JA/AM-042,Hakamagoshidake,41.16800,140.57930,708
JA/AM-043,Mikurayama,40.45950,140.90990,690
JA/AM-044,Higashidake,40.83690,140.89169,684
JA/AM-045,Ookuradake,40.97010,140.54849,677
JA/AM-046,Yotsudakiyama,41.12170,140.40050,670
JA/AM-047,Kudojiyama,40.52730,140.42380,663
JA/AM-048,Andoyama,41.23880,140.81641,646
JA/AM-049,Akiyama,41.23670,140.87891,631
JA/AM-050,Hakamagoshidake,40.99560,140.52161,628
JA/AM-051,Metakiyama,41.43910,140.97520,618
JA/AM-052,Nakuidake,40.38800,141.30840,615
JA/AM-053,Toyamori,40.46340,140.56290,612
JA/AM-054,Hamanadake,41.14480,140.43890,603
JA/AM-055,Ganmori,40.52860,140.39470,588
JA/AM-056,Yagataishiyama,41.17370,140.37109,587
JA/AM-057,Yasuteyama,40.55110,140.64900,564
JA/AM-058,Kamanosawa,41.21220,140.36880,556
JA/AM-059,JA/AM-059,41.08880,141.34460,551
JA/AM-060,Ohoudake,41.26290,140.95740,550
JA/AM-061,Umanokamiyama,40.82890,140.57710,549
JA/AM-062,Takadouyama,40.39640,141.13260,539
JA/AM-063,JA/AM-063,41.31320,140.82220,516
JA/AM-064,Obirakiyama,40.52470,140.52499,510
JA/AM-065,Mukounoyama,41.28100,140.96040,505
JA/AM-066,Tanazawa,41.02370,141.34030,469
JA/AM-067,Kuwahatayama,41.38760,141.44070,400
JA/AM-068,Takamoriyama,40.89610,140.89140,386
JA/AM-069,Kouchiyama,40.88120,140.92010,366
JA/AM-070,JA/AM-070,41.20130,140.78169,338
JA/AM-071,Mizugasawayama,40.95270,140.91580,323
JA/AM-072,Katazakiyama,41.32730,141.40590,301
JA/AM-073,Takadaoodake,40.65270,140.90840,1552
JA/AM-074,Norikuradake,40.59790,140.88969,1449
JA/AM-075,Hinadake,40.66060,140.92490,1240
JA/AM-076,Shirakamidake,40.50740,140.01820,1235
JA/AM-077,Towadayama,40.46250,140.97099,1054
JA/AM-078,Chausuyama,40.60850,140.03120,896
JA/AM-079,Nanajyumoriyama,40.72900,140.91650,886
JA/AM-080,Takamoriyama,40.73170,140.97701,834
JA/AM-081,Kinashidake,41.15160,140.57280,686
JA/AM-082,Maruyama,41.29920,140.82809,511
JA/AM-083,JA/AM-083,41.11270,140.47200,447
JA/AM-084,Gankeyama,41.15830,140.78329,304
JA/AM-085,Hikinokoshiyama,40.89410,140.96490,267
JA/AM-086,Namiuchiyama,40.93170,140.87590,232
JA/AM-087,Ozakiyama,41.12660,140.25310,230
JA/AT-001,Komagatake (Onamedake),39.76110,140.79939,1637
JA/AT-002,Moriyoshizan,39.97680,140.54420,1454
JA/AT-003,Toragesan,38.90460,140.61880,1433
JA/AT-004,Asahidake,39.61020,140.77280,1376
JA/AT-005,Yakeyama,39.96380,140.75700,1366
